num_ids,delay_ns,delay_us,fidelity,N_qubits,T1_ns,T2_ns,ID_duration_ns
0,0.0,0.000,1.000000,1,149149,38194,35.5
1,35.5,0.035,1.000000,1,149149,38194,35.5
2,71.0,0.071,0.999250,1,149149,38194,35.5
4,142.0,0.142,0.999000,1,149149,38194,35.5
5,177.5,0.177,0.998750,1,149149,38194,35.5
8,284.0,0.284,0.998250,1,149149,38194,35.5
11,390.5,0.391,0.998000,1,149149,38194,35.5
16,568.0,0.568,0.996500,1,149149,38194,35.5
23,816.5,0.817,0.994500,1,149149,38194,35.5
34,1207.0,1.207,0.992750,1,149149,38194,35.5
48,1704.0,1.704,0.991000,1,149149,38194,35.5
69,2449.5,2.450,0.983750,1,149149,38194,35.5
98,3479.0,3.479,0.976000,1,149149,38194,35.5
139,4934.5,4.934,0.968500,1,149149,38194,35.5
199,7064.5,7.064,0.952500,1,149149,38194,35.5
283,10046.5,10.046,0.931500,1,149149,38194,35.5
403,14306.5,14.306,0.908250,1,149149,38194,35.5
573,20341.5,20.341,0.870500,1,149149,38194,35.5
816,28968.0,28.968,0.835500,1,149149,38194,35.5
1162,41251.0,41.251,0.754250,1,149149,38194,35.5
1654,58717.0,58.717,0.668000,1,149149,38194,35.5
2354,83567.0,83.567,0.572750,1,149149,38194,35.5
3350,118925.0,118.925,0.457750,1,149149,38194,35.5
4769,169299.5,169.299,0.322250,1,149149,38194,35.5
